id,amount,category,description,date
EXP000087,238.34,Education,Expense 87 - Movie,2023-05-20
EXP000088,471.42,Shopping,Expense 88 - Flight,2023-04-22
EXP000089,335.1,Transportation,Expense 89 - Medicine,2023-10-31
EXP000090,391.71,Transportation,Expense 90 - Electricity,2023-03-31
EXP000091,462.14,Food,Expense 91 - Gas,2023-05-01
EXP000092,448.91,Healthcare,Expense 92 - Flight,2023-06-01
EXP000093,234.33,Bills,Expense 93 - Groceries,2023-03-02
EXP000094,480.1,Shopping,Expense 94 - Groceries,2023-06-02
EXP000095,158.81,Shopping,Expense 95 - Flight,2023-07-27
EXP000096,59.51,Bills,Expense 96 - Lunch,2023-01-06
EXP000097,271.34,Travel,Expense 97 - Electricity,2023-01-31
EXP000098,361.83,Education,Expense 98 - Lunch,2023-12-23
EXP000099,224.54,Entertainment,Expense 99 - Lunch,2023-07-29
EXP000100,356.07,Shopping,Expense 100 - Electricity,2023-07-04
EXP000101,493.21,Food,Expense 101 - Medicine,2023-03-14
EXP000102,8.23,Entertainment,Expense 102 - Groceries,2023-07-12
EXP000103,433.31,Bills,Expense 103 - Groceries,2023-02-12
EXP000104,347.33,Healthcare,Expense 104 - Flight,2023-01-23
EXP000105,419.86,Entertainment,Expense 105 - Flight,2023-12-09
EXP000106,311.08,Shopping,Expense 106 - Electricity,2023-05-26
EXP000107,413.31,Food,Expense 107 - Books,2023-07-08
EXP000108,206.84,Entertainment,Expense 108 - Groceries,2023-02-17
EXP000109,15.4,Shopping,Expense 109 - Books,2023-09-21
EXP000110,307.4,Travel,Expense 110 - Movie,2023-05-12
EXP000111,419.9,Entertainment,Expense 111 - Movie,2023-11-26
EXP000112,448.72,Healthcare,Expense 112 - Flight,2023-08-13
EXP000113,347.71,Transportation,Expense 113 - Gas,2023-02-01
EXP000114,16.82,Transportation,Expense 114 - Books,2023-08-07
EXP000115,363.84,Entertainment,Expense 115 - Medicine,2023-05-05
EXP000116,257.5,Entertainment,Expense 116 - Gas,2023-06-06
EXP000117,142.81,Healthcare,Expense 117 - Groceries,2023-06-20
EXP000118,210.16,Transportation,Expense 118 - Lunch,2023-09-13
EXP000119,27.22,Travel,Expense 119 - Movie,2023-05-21
EXP000120,311.18,Travel,Expense 120 - Groceries,2023-10-29
EXP000121,282.2,Transportation,Expense 121 - Lunch,2023-12-03
EXP000122,278.49,Education,Expense 122 - Groceries,2023-09-27
EXP000123,5.74,Bills,Expense 123 - Lunch,2023-07-08
EXP000124,456.12,Entertainment,Expense 124 - Books,2023-12-19
EXP000125,81.38,Travel,Expense 125 - Electricity,2023-04-03
EXP000126,39.7,Education,Expense 126 - Groceries,2023-12-21
EXP000127,314.87,Education,Expense 127 - Books,2023-06-29
EXP000128,76.97,Travel,Expense 128 - Movie,2023-07-14
EXP000129,382.47,Healthcare,Expense 129 - Lunch,2023-08-04
EXP000130,401.86,Travel,Expense 130 - Lunch,2023-01-23
EXP000131,182.13,Entertainment,Expense 131 - Groceries,2023-07-03
EXP000132,80.28,Education,Expense 132 - Flight,2023-06-17
EXP000133,132.66,Shopping,Expense 133 - Movie,2023-06-21
EXP000134,269.76,Entertainment,Expense 134 - Gas,2023-10-06
EXP000135,98.52,Entertainment,Expense 135 - Lunch,2023-01-14
EXP000136,354.57,Healthcare,Expense 136 - Flight,2023-07-23
EXP000137,356.44,Healthcare,Expense 137 - Gas,2023-10-10
EXP000138,163.97,Bills,Expense 138 - Movie,2023-08-18
EXP000139,213.17,Entertainment,Expense 139 - Lunch,2023-03-27
EXP000140,383.84,Healthcare,Expense 140 - Groceries,2023-11-04
EXP000141,337.16,Shopping,Expense 141 - Lunch,2023-10-06
EXP000142,317.97,Entertainment,Expense 142 - Gas,2023-11-24
EXP000143,88.85,Healthcare,Expense 143 - Gas,2023-08-26
EXP000144,62.7,Bills,Expense 144 - Lunch,2023-09-12
EXP000145,409.85,Food,Expense 145 - Medicine,2023-09-25
EXP000146,428.31,Food,Expense 146 - Movie,2023-12-09
EXP000147,136.92,Entertainment,Expense 147 - Books,2023-06-09
EXP000148,410.32,Healthcare,Expense 148 - Groceries,2023-11-26
EXP000149,338.17,Entertainment,Expense 149 - Gas,2023-01-30
EXP000150,55.59,Healthcare,Expense 150 - Medicine,2023-05-26
EXP000151,417.84,Education,Expense 151 - Medicine,2023-08-19
EXP000152,334.55,Transportation,Expense 152 - Electricity,2023-12-01
EXP000153,338.3,Entertainment,Expense 153 - Medicine,2023-03-20
EXP000154,315.39,Food,Expense 154 - Gas,2023-07-17
EXP000155,363.09,Food,Expense 155 - Electricity,2023-12-23
EXP000156,9.7,Transportation,Expense 156 - Gas,2023-12-21
EXP000157,333.63,Food,Expense 157 - Gas,2023-05-29
EXP000158,234.75,Transportation,Expense 158 - Lunch,2023-06-12
EXP000159,152.99,Shopping,Expense 159 - Movie,2023-04-15
EXP000160,489.27,Entertainment,Expense 160 - Groceries,2023-12-06
EXP000161,111.08,Food,Expense 161 - Electricity,2023-01-23
EXP000162,343.01,Transportation,Expense 162 - Groceries,2023-05-31
EXP000163,419.73,Healthcare,Expense 163 - Electricity,2023-05-30
EXP000164,291.14,Education,Expense 164 - Groceries,2023-12-30
EXP000165,5.17,Healthcare,Expense 165 - Flight,2023-03-06
EXP000166,188.81,Travel,Expense 166 - Groceries,2023-03-08
EXP000167,162.23,Healthcare,Expense 167 - Electricity,2023-10-30
EXP000168,221.15,Entertainment,Expense 168 - Movie,2023-02-22
EXP000169,156.07,Entertainment,Expense 169 - Gas,2023-06-18
EXP000170,420.31,Transportation,Expense 170 - Gas,2023-12-08
EXP000171,456.58,Education,Expense 171 - Flight,2023-09-26
EXP000172,352.84,Education,Expense 172 - Movie,2023-06-20
EXP000173,185.23,Bills,Expense 173 - Medicine,2023-09-22
EXP000174,180.18,Bills,Expense 174 - Groceries,2023-07-24
EXP000175,196.39,Education,Expense 175 - Medicine,2023-08-29
EXP000176,64.31,Shopping,Expense 176 - Lunch,2023-10-12
EXP000177,300.74,Entertainment,Expense 177 - Flight,2023-02-09
EXP000178,263.53,Shopping,Expense 178 - Books,2023-11-06
EXP000179,305.51,Education,Expense 179 - Movie,2023-05-27
EXP000180,413.9,Bills,Expense 180 - Groceries,2023-01-30
EXP000181,449.21,Bills,Expense 181 - Flight,2023-09-08
EXP000182,188.03,Transportation,Expense 182 - Gas,2023-09-08
EXP000183,286.18,Transportation,Expense 183 - Medicine,2023-04-01
EXP000184,125.4,Travel,Expense 184 - Medicine,2023-01-23
EXP000185,477.24,Entertainment,Expense 185 - Electricity,2023-05-08
EXP000186,483.41,Transportation,Expense 186 - Books,2023-05-11
EXP000187,493.2,Education,Expense 187 - Groceries,2023-07-27
EXP000188,244.7,Healthcare,Expense 188 - Books,2023-12-07
EXP000189,443.56,Bills,Expense 189 - Lunch,2023-05-02
EXP000190,81.72,Transportation,Expense 190 - Medicine,2023-01-15
EXP000191,16.79,Education,Expense 191 - Flight,2023-03-22
EXP000192,86.19,Transportation,Expense 192 - Groceries,2023-07-23
EXP000193,69.38,Healthcare,Expense 193 - Electricity,2023-06-25
EXP000194,278.61,Shopping,Expense 194 - Flight,2023-05-26
EXP000195,352.11,Education,Expense 195 - Books,2023-01-13
EXP000196,231.38,Bills,Expense 196 - Lunch,2023-03-19
EXP000197,300.86,Food,Expense 197 - Flight,2023-04-21
EXP000198,132.05,Education,Expense 198 - Gas,2023-12-25
EXP000199,378.05,Food,Expense 199 - Books,2023-07-29
EXP000200,197.98,Education,Expense 200 - Books,2023-03-12
EXP000201,494.75,Shopping,Expense 201 - Electricity,2023-08-28
EXP000202,82.87,Healthcare,Expense 202 - Groceries,2023-06-01
EXP000203,28.02,Food,Expense 203 - Lunch,2023-11-11
EXP000204,78.44,Transportation,Expense 204 - Flight,2023-10-09
EXP000205,272.49,Bills,Expense 205 - Lunch,2023-01-17
EXP000206,60.08,Healthcare,Expense 206 - Flight,2023-01-03
EXP000207,190.21,Education,Expense 207 - Movie,2023-01-14
EXP000208,490.19,Travel,Expense 208 - Groceries,2023-03-27
EXP000209,57.56,Entertainment,Expense 209 - Flight,2023-04-04
EXP000210,19.49,Bills,Expense 210 - Groceries,2023-06-21
EXP000211,43.48,Bills,Expense 211 - Books,2023-04-21
EXP000212,426.0,Bills,Expense 212 - Gas,2023-11-23
EXP000213,136.47,Healthcare,Expense 213 - Lunch,2023-07-29
EXP000214,303.66,Shopping,Expense 214 - Flight,2023-08-30
EXP000215,118.89,Entertainment,Expense 215 - Groceries,2023-03-13
EXP000216,135.26,Food,Expense 216 - Books,2023-05-08
EXP000217,233.55,Bills,Expense 217 - Books,2023-01-16
EXP000218,240.12,Education,Expense 218 - Books,2023-07-11
EXP000219,490.35,Shopping,Expense 219 - Flight,2023-10-07
EXP000220,341.28,Shopping,Expense 220 - Movie,2023-01-19
EXP000221,111.49,Food,Expense 221 - Lunch,2023-06-28
EXP000222,384.12,Food,Expense 222 - Gas,2023-12-31
EXP000223,426.68,Healthcare,Expense 223 - Books,2023-05-08
EXP000224,205.43,Travel,Expense 224 - Movie,2023-04-12
EXP000225,211.05,Bills,Expense 225 - Electricity,2023-07-31
EXP000226,73.46,Travel,Expense 226 - Movie,2023-03-15
EXP000227,276.9,Food,Expense 227 - Medicine,2023-02-06
EXP000228,225.14,Travel,Expense 228 - Books,2023-09-30
EXP000229,422.67,Shopping,Expense 229 - Flight,2023-03-20
EXP000230,430.86,Shopping,Expense 230 - Medicine,2023-09-14
EXP000231,450.2,Education,Expense 231 - Electricity,2023-11-14
EXP000232,315.29,Transportation,Expense 232 - Medicine,2023-12-09
EXP000233,121.32,Education,Expense 233 - Groceries,2023-01-04
EXP000234,119.18,Travel,Expense 234 - Electricity,2023-01-25
EXP000235,31.13,Bills,Expense 235 - Gas,2023-11-05
EXP000236,112.1,Bills,Expense 236 - Gas,2023-01-05
EXP000237,364.13,Education,Expense 237 - Books,2023-11-15
EXP000238,352.67,Healthcare,Expense 238 - Flight,2023-11-02
EXP000239,435.26,Food,Expense 239 - Gas,2023-11-07
EXP000240,438.41,Travel,Expense 240 - Medicine,2023-03-22
EXP000241,462.81,Transportation,Expense 241 - Electricity,2023-04-27
EXP000242,171.45,Transportation,Expense 242 - Books,2023-01-14
EXP000243,441.02,Education,Expense 243 - Groceries,2023-04-01
EXP000244,100.7,Food,Expense 244 - Medicine,2023-02-12
EXP000245,464.9,Entertainment,Expense 245 - Flight,2023-05-13
EXP000246,222.3,Food,Expense 246 - Groceries,2023-01-19
EXP000247,161.4,Healthcare,Expense 247 - Gas,2023-04-07
EXP000248,262.99,Healthcare,Expense 248 - Lunch,2023-07-18
EXP000249,405.48,Entertainment,Expense 249 - Movie,2023-02-17
EXP000250,233.17,Healthcare,Expense 250 - Books,2023-01-09
EXP000251,165.16,Transportation,Expense 251 - Movie,2023-03-15
EXP000252,404.21,Travel,Expense 252 - Medicine,2023-01-03
EXP000253,490.71,Healthcare,Expense 253 - Electricity,2023-06-22
EXP000254,321.09,Food,Expense 254 - Books,2023-11-01
EXP000255,144.82,Bills,Expense 255 - Books,2023-08-02
EXP000256,53.71,Bills,Expense 256 - Electricity,2023-09-08
EXP000257,180.93,Transportation,Expense 257 - Lunch,2023-08-03
EXP000258,442.79,Bills,Expense 258 - Lunch,2023-10-09
EXP000259,367.52,Bills,Expense 259 - Gas,2023-07-25
EXP000260,232.19,Bills,Expense 260 - Movie,2023-12-29
EXP000261,253.82,Entertainment,Expense 261 - Electricity,2023-11-04
EXP000262,209.63,Entertainment,Expense 262 - Lunch,2023-08-05
EXP000263,433.48,Education,Expense 263 - Gas,2023-08-16
EXP000264,180.03,Education,Expense 264 - Electricity,2023-11-11
EXP000265,220.43,Entertainment,Expense 265 - Gas,2023-09-29
EXP000266,287.05,Healthcare,Expense 266 - Movie,2023-05-09
EXP000267,265.39,Bills,Expense 267 - Movie,2023-12-14
EXP000268,53.43,Healthcare,Expense 268 - Electricity,2023-09-16
EXP000269,165.46,Education,Expense 269 - Movie,2023-04-27
EXP000270,288.62,Shopping,Expense 270 - Gas,2023-11-14
EXP000271,285.79,Transportation,Expense 271 - Flight,2023-09-10
EXP000272,164.7,Shopping,Expense 272 - Medicine,2023-05-09
EXP000273,269.25,Food,Expense 273 - Medicine,2023-12-29
EXP000274,440.45,Bills,Expense 274 - Flight,2023-01-12
EXP000275,271.54,Food,Expense 275 - Movie,2023-06-10
EXP000276,485.08,Education,Expense 276 - Electricity,2023-06-27
EXP000277,417.29,Shopping,Expense 277 - Gas,2023-04-12
EXP000278,307.38,Entertainment,Expense 278 - Groceries,2023-09-26
EXP000279,269.79,Bills,Expense 279 - Medicine,2023-04-02
EXP000280,361.65,Entertainment,Expense 280 - Electricity,2023-04-11
EXP000281,233.2,Healthcare,Expense 281 - Movie,2023-12-18
EXP000282,180.97,Entertainment,Expense 282 - Lunch,2023-07-30
EXP000283,207.52,Bills,Expense 283 - Flight,2023-02-09
EXP000284,470.53,Shopping,Expense 284 - Lunch,2023-07-27
EXP000285,424.42,Education,Expense 285 - Gas,2023-04-01
EXP000286,149.64,Education,Expense 286 - Flight,2023-03-04
EXP000287,461.92,Entertainment,Expense 287 - Groceries,2023-01-30
EXP000288,180.97,Bills,Expense 288 - Gas,2023-04-05
EXP000289,82.67,Shopping,Expense 289 - Flight,2023-03-06
EXP000290,64.1,Bills,Expense 290 - Movie,2023-08-10
EXP000291,277.63,Bills,Expense 291 - Lunch,2023-03-11
EXP000292,165.18,Food,Expense 292 - Movie,2023-11-07
EXP000293,432.28,Travel,Expense 293 - Flight,2023-12-08
EXP000294,428.8,Food,Expense 294 - Groceries,2023-09-01
EXP000295,77.59,Travel,Expense 295 - Lunch,2023-04-02
EXP000296,100.85,Shopping,Expense 296 - Medicine,2023-11-19
EXP000297,237.02,Shopping,Expense 297 - Flight,2023-11-21
EXP000298,186.89,Education,Expense 298 - Books,2023-10-23
EXP000299,348.6,Education,Expense 299 - Gas,2023-06-18
EXP000300,325.18,Entertainment,Expense 300 - Books,2023-09-08
EXP000301,234.24,Food,Expense 301 - Lunch,2023-06-03
EXP000302,122.62,Entertainment,Expense 302 - Electricity,2023-04-21
EXP000303,97.82,Entertainment,Expense 303 - Gas,2023-03-08
EXP000304,294.69,Education,Expense 304 - Flight,2023-05-11
EXP000305,327.6,Food,Expense 305 - Groceries,2023-06-05
EXP000306,39.33,Food,Expense 306 - Groceries,2023-07-21
EXP000307,229.46,Entertainment,Expense 307 - Medicine,2023-01-31
EXP000308,484.82,Transportation,Expense 308 - Movie,2023-12-08
EXP000309,374.58,Bills,Expense 309 - Gas,2023-06-29
EXP000310,142.76,Entertainment,Expense 310 - Books,2023-09-10
EXP000311,468.11,Education,Expense 311 - Medicine,2023-11-26
EXP000312,460.25,Shopping,Expense 312 - Flight,2023-04-24
EXP000313,270.69,Entertainment,Expense 313 - Movie,2023-03-31
EXP000314,145.44,Food,Expense 314 - Movie,2023-08-21
EXP000315,497.42,Bills,Expense 315 - Gas,2023-10-28
EXP000316,95.3,Education,Expense 316 - Lunch,2023-03-28
EXP000317,337.86,Transportation,Expense 317 - Books,2023-01-07
EXP000318,292.1,Travel,Expense 318 - Flight,2023-12-16
EXP000319,214.72,Transportation,Expense 319 - Movie,2023-03-12
EXP000320,152.97,Bills,Expense 320 - Gas,2023-09-11
EXP000321,218.73,Education,Expense 321 - Flight,2023-12-31
EXP000322,197.12,Education,Expense 322 - Movie,2023-09-06
EXP000323,322.0,Healthcare,Expense 323 - Books,2023-01-04
EXP000324,47.52,Bills,Expense 324 - Flight,2023-06-13
EXP000325,79.7,Entertainment,Expense 325 - Medicine,2023-08-02
EXP000326,64.79,Entertainment,Expense 326 - Movie,2023-08-10
EXP000327,470.66,Education,Expense 327 - Electricity,2023-10-19
EXP000328,164.13,Entertainment,Expense 328 - Flight,2023-02-10
EXP000329,411.32,Shopping,Expense 329 - Gas,2023-01-27
EXP000330,334.06,Education,Expense 330 - Gas,2023-10-16
EXP000331,309.69,Food,Expense 331 - Electricity,2023-06-04
EXP000332,81.83,Education,Expense 332 - Flight,2023-04-27
EXP000333,491.32,Healthcare,Expense 333 - Groceries,2023-07-10
EXP000334,199.04,Travel,Expense 334 - Books,2023-02-19
EXP000335,491.63,Education,Expense 335 - Medicine,2023-01-02
EXP000336,163.72,Shopping,Expense 336 - Movie,2023-12-28
EXP000337,63.7,Shopping,Expense 337 - Books,2023-09-15
EXP000338,166.63,Transportation,Expense 338 - Movie,2023-01-11
EXP000339,367.64,Food,Expense 339 - Flight,2023-03-04
EXP000340,497.1,Travel,Expense 340 - Flight,2023-01-07
EXP000341,456.08,Education,Expense 341 - Medicine,2023-03-14
EXP000342,238.07,Education,Expense 342 - Medicine,2023-12-03
EXP000343,147.44,Entertainment,Expense 343 - Groceries,2023-06-06
EXP000344,212.23,Education,Expense 344 - Flight,2023-04-23
EXP000345,241.1,Shopping,Expense 345 - Groceries,2023-02-24
EXP000346,8.2,Education,Expense 346 - Books,2023-12-31
EXP000347,91.13,Shopping,Expense 347 - Medicine,2023-06-12
EXP000348,472.43,Bills,Expense 348 - Gas,2023-11-02
EXP000349,125.16,Transportation,Expense 349 - Groceries,2023-08-08
EXP000350,206.73,Healthcare,Expense 350 - Gas,2023-01-16
EXP000351,141.42,Healthcare,Expense 351 - Movie,2023-12-06
EXP000352,139.83,Travel,Expense 352 - Books,2023-05-19
EXP000353,470.26,Travel,Expense 353 - Flight,2023-05-01
EXP000354,430.85,Travel,Expense 354 - Electricity,2023-04-19
EXP000355,367.21,Bills,Expense 355 - Movie,2023-07-03
EXP000356,253.32,Healthcare,Expense 356 - Movie,2023-09-29
EXP000357,191.07,Bills,Expense 357 - Electricity,2023-08-16
EXP000358,426.35,Education,Expense 358 - Electricity,2023-04-21
EXP000359,113.47,Bills,Expense 359 - Movie,2023-04-23
EXP000360,274.93,Travel,Expense 360 - Groceries,2023-01-09
EXP000361,384.73,Entertainment,Expense 361 - Groceries,2023-08-22
EXP000362,51.64,Shopping,Expense 362 - Groceries,2023-06-03
EXP000363,298.69,Food,Expense 363 - Groceries,2023-06-22
EXP000364,447.74,Transportation,Expense 364 - Gas,2023-04-12
EXP000365,319.38,Bills,Expense 365 - Medicine,2023-10-01
EXP000366,145.99,Transportation,Expense 366 - Gas,2023-10-26
EXP000367,420.79,Travel,Expense 367 - Lunch,2023-01-03
EXP000368,64.93,Transportation,Expense 368 - Flight,2023-01-08
EXP000369,449.85,Entertainment,Expense 369 - Gas,2023-05-04
EXP000370,117.92,Food,Expense 370 - Groceries,2023-04-12
EXP000371,475.61,Healthcare,Expense 371 - Books,2023-02-06
EXP000372,409.88,Shopping,Expense 372 - Books,2023-07-13
EXP000373,324.49,Transportation,Expense 373 - Medicine,2023-06-28
EXP000374,340.51,Healthcare,Expense 374 - Groceries,2023-09-14
EXP000375,118.62,Travel,Expense 375 - Electricity,2023-11-21
EXP000376,252.68,Travel,Expense 376 - Books,2023-07-29
EXP000377,10.07,Shopping,Expense 377 - Books,2023-06-14
EXP000378,235.51,Education,Expense 378 - Groceries,2023-01-03
EXP000379,271.02,Bills,Expense 379 - Books,2023-11-22
EXP000380,332.41,Entertainment,Expense 380 - Medicine,2023-12-21
EXP000381,242.96,Travel,Expense 381 - Groceries,2023-02-01
EXP000382,49.31,Entertainment,Expense 382 - Books,2023-04-12
EXP000383,480.92,Transportation,Expense 383 - Gas,2023-06-14
EXP000384,481.22,Food,Expense 384 - Lunch,2023-01-10
EXP000385,225.61,Bills,Expense 385 - Movie,2023-02-18
EXP000386,339.77,Transportation,Expense 386 - Groceries,2023-02-23
EXP000387,317.86,Entertainment,Expense 387 - Electricity,2023-09-07
EXP000388,233.91,Shopping,Expense 388 - Gas,2023-02-26
EXP000389,345.04,Education,Expense 389 - Flight,2023-09-12
EXP000390,386.45,Transportation,Expense 390 - Electricity,2023-07-12
EXP000391,467.81,Healthcare,Expense 391 - Gas,2023-11-14
EXP000392,278.57,Entertainment,Expense 392 - Electricity,2023-05-17
EXP000393,235.88,Transportation,Expense 393 - Movie,2023-02-19
EXP000394,443.19,Bills,Expense 394 - Medicine,2023-05-04
EXP000395,376.22,Food,Expense 395 - Gas,2023-11-10
EXP000396,419.11,Healthcare,Expense 396 - Movie,2023-10-29
EXP000397,172.94,Entertainment,Expense 397 - Movie,2023-01-06
EXP000398,119.23,Food,Expense 398 - Movie,2023-07-21
EXP000399,348.11,Shopping,Expense 399 - Medicine,2023-02-06
EXP000400,348.51,Healthcare,Expense 400 - Gas,2023-07-22
EXP000401,121.55,Entertainment,Expense 401 - Groceries,2023-09-20
EXP000402,417.94,Shopping,Expense 402 - Medicine,2023-05-04
EXP000403,344.15,Food,Expense 403 - Lunch,2023-09-14
EXP000404,12.52,Food,Expense 404 - Electricity,2023-05-30
EXP000405,347.06,Bills,Expense 405 - Flight,2023-12-14
EXP000406,479.67,Shopping,Expense 406 - Groceries,2023-11-24
EXP000407,452.19,Travel,Expense 407 - Flight,2023-11-01
EXP000408,375.57,Bills,Expense 408 - Flight,2023-02-04
EXP000409,477.36,Bills,Expense 409 - Medicine,2023-03-07
EXP000410,378.04,Shopping,Expense 410 - Electricity,2023-04-08
EXP000411,428.01,Food,Expense 411 - Lunch,2023-06-02
EXP000412,267.28,Travel,Expense 412 - Books,2023-05-24
EXP000413,412.76,Travel,Expense 413 - Electricity,2023-03-19
EXP000414,121.44,Food,Expense 414 - Gas,2023-09-07
EXP000415,134.99,Travel,Expense 415 - Books,2023-11-01
EXP000416,364.73,Transportation,Expense 416 - Electricity,2023-06-13
EXP000417,429.62,Bills,Expense 417 - Gas,2023-01-06
EXP000418,339.06,Food,Expense 418 - Gas,2023-08-20
EXP000419,499.51,Bills,Expense 419 - Gas,2023-12-03
EXP000420,166.15,Food,Expense 420 - Electricity,2023-09-30
EXP000421,483.2,Entertainment,Expense 421 - Flight,2023-12-31
EXP000422,427.77,Education,Expense 422 - Movie,2023-07-14
EXP000423,445.52,Shopping,Expense 423 - Flight,2023-05-19
EXP000424,283.95,Transportation,Expense 424 - Groceries,2023-04-09
